
Gurobi 12.0.2 (win64) logging started Tue Nov 18 11:17:18 2025

Set parameter LogFile to value "resultados DATA_1_n20m10b2d1\instancia_6_log.txt"
Set parameter TimeLimit to value 3600
Gurobi Optimizer version 12.0.2 build v12.0.2rc0 (win64 - Windows 10.0 (19045.2))

CPU model: Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz, instruction set [SSE2|AVX|AVX2]
Thread count: 2 physical cores, 4 logical processors, using up to 4 threads

Non-default parameters:
TimeLimit  3600

Optimize a model with 4870 rows, 22732 columns and 3270408 nonzeros
Model fingerprint: 0x247ce481
Variable types: 0 continuous, 22732 integer (22732 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [1e-02, 5e-02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 6e+01]
Found heuristic solution: objective 0.8088750
Presolve removed 199 rows and 6766 columns (presolve time = 5s)...
Presolve removed 276 rows and 6766 columns (presolve time = 10s)...
Presolve removed 276 rows and 6766 columns (presolve time = 15s)...
Presolve removed 276 rows and 6766 columns (presolve time = 20s)...
Presolve removed 276 rows and 6766 columns (presolve time = 25s)...
Presolve removed 276 rows and 6766 columns
Presolve time: 26.42s
Presolved: 4594 rows, 15966 columns, 2224732 nonzeros
Found heuristic solution: objective 0.4608750
Variable types: 0 continuous, 15966 integer (15966 binary)
Deterministic concurrent LP optimizer: primal and dual simplex
Showing primal log only...


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    8.1787500e-01   0.000000e+00   3.347074e+02     28s
    1361    8.3310413e-01   0.000000e+00   5.100885e+03     30s
    2321    8.3334421e-01   0.000000e+00   1.837317e+03     35s
    3281    8.3375800e-01   0.000000e+00   6.615592e+03     41s
    4001    8.3435235e-01   0.000000e+00   1.653530e+04     46s
    4601    8.3514597e-01   0.000000e+00   8.199439e+03     50s
    5201    8.3671939e-01   0.000000e+00   2.230761e+04     55s
    5801    8.4082377e-01   0.000000e+00   2.805690e+04     61s
    6281    8.5212220e-01   0.000000e+00   3.900762e+05     65s
    6761    8.8055300e-01   0.000000e+00   6.579221e+05     70s
    7241    9.0100556e-01   0.000000e+00   3.969959e+04     76s
    7601    9.0756357e-01   0.000000e+00   2.495733e+04     80s
    8081    9.1737247e-01   0.000000e+00   3.354858e+04     85s
    8561    9.2659097e-01   0.000000e+00   5.877167e+03     91s
    8921    9.3333675e-01   0.000000e+00   7.186399e+03     96s
    9281    9.3921937e-01   0.000000e+00   4.773023e+03    100s
    9761    9.4821798e-01   0.000000e+00   1.978092e+03    106s
   10101    9.5184046e-01   0.000000e+00   6.748476e+03    111s
   10461    9.5503966e-01   0.000000e+00   3.606330e+04    116s
   10821    9.5752103e-01   0.000000e+00   5.444530e+03    122s
   11061    9.5951418e-01   0.000000e+00   2.098032e+04    125s
   11411    9.6142590e-01   0.000000e+00   1.337913e+03    130s
   11741    9.6339882e-01   0.000000e+00   1.906936e+03    136s
   11951    9.6462981e-01   0.000000e+00   9.701650e+03    140s
   12301    9.6669241e-01   0.000000e+00   5.089346e+03    146s
   12521    9.6794300e-01   0.000000e+00   1.623952e+03    150s
   12871    9.6975575e-01   0.000000e+00   2.837858e+03    157s
   13111    9.7095000e-01   0.000000e+00   4.784076e+03    161s
   13371    9.7209782e-01   0.000000e+00   4.075008e+03    166s
   13611    9.7301664e-01   0.000000e+00   3.911426e+03    171s
   13951    9.7444150e-01   0.000000e+00   9.066448e+03    176s
   14191    9.7525327e-01   0.000000e+00   3.804946e+03    180s
   14561    9.7643022e-01   0.000000e+00   4.103438e+04    187s
   14801    9.7718231e-01   0.000000e+00   3.475894e+03    192s
   15021    9.7789359e-01   0.000000e+00   2.555562e+03    196s
   15351    9.7891526e-01   0.000000e+00   1.884685e+03    201s
   15591    9.7947380e-01   0.000000e+00   1.774346e+03    205s
