Instância;Status;Objetivo;Volume;Nº Caixas;Gap (%);Tempo (s);Nós Explorados
instancia_1;2;0,902222;24360,0;8;0,0;94,213;346,0
instancia_10;2;0,888148;23980,0;13;0,0;87,78;1261,0
instancia_2;2;0,93037;25120,0;17;0,0;57,445;273,0
instancia_3;2;0,864222;23334,0;9;0,0;10,945;341,0
instancia_4;2;0,922222;24900,0;8;0,0;45,977;110,0
instancia_5;2;0,956444;25824,0;10;0,0;15,814;3,0
instancia_6;2;0,972111;26247,0;13;0,00465;10,72;1,0
instancia_7;2;0,882519;23828,0;9;0,0;6,378;1,0
instancia_8;2;0,937037;25300,0;15;0,0;37,724;283,0
instancia_9;2;0,929185;25088,0;16;0,0;15,125;91,0
