Instância;Status;Objetivo;Volume;Nº Caixas;Gap (%);Tempo (s);Nós Explorados
instancia_1;2;0,855624;106953,0;8;0,0;100,715;358,0
instancia_10;2;0,909344;113668,0;9;0,0;113,699;1,0
instancia_2;2;0,908096;113512,0;11;0,0;627,414;651,0
instancia_3;9;0,626656;78332,0;15;39310,064852;3618,339;1,0
instancia_4;2;0,924;115500,0;8;0,0;453,029;77,0
instancia_5;2;0,919672;114959,0;10;0,0;2200,96;2041,0
instancia_6;9;0,791616;98952,0;13;;11349,284;0,0
instancia_7;2;0,897216;112152,0;17;0,0;346,802;2262,0
instancia_8;2;0,9288;116100,0;16;0,0;61,681;69,0
instancia_9;9;0,924984;115623,0;12;2,13421;3602,075;2441,0
