Instância;Status;Objetivo (Ocupação);Volume Total;Nº Caixas;Gap (%);Tempo (s);Nós Explorados
instancia_1;2;0,23712;29640,0;5;0,0;0,003000020980834961;0,0
instancia_2;2;0,0;0,0;0;0,0;0,0009999275207519531;0,0
instancia_3;2;0,433856;54232,0;9;0,0;0,04699993133544922;1,0
instancia_4;2;0,48456;60570,0;8;0,0;0,010999917984008789;0,0
instancia_5;2;0,607104;75888,0;21;0,0;0,5369999408721924;1,0
instancia_6;2;0,533232;66654,0;6;0,0;0,003000020980834961;0,0
instancia_7;2;0,5551039999999999;69388,0;9;0,0;0,16199994087219238;1,0
instancia_8;2;0,756;94500,0;15;0,0;0,005000114440917969;0,0
instancia_9;2;0,454032;56754,0;4;0,0;0,006999969482421875;1,0
instancia_10;2;0,384768;48096,0;4;0,0;0,002000093460083008;0,0
