Instância;Status;Objetivo (Ocupação);Volume Total;Nº Caixas;Gap (%);Tempo (s);Nós Explorados
instancia_1;2;0,8906250000000002;2280,0;163;0,0;0,8889999389648438;1,0
instancia_2;2;0,4992187499999999;1278,0;163;0,0;0,13299989700317383;1,0
instancia_3;2;0,9636718749999993;2467,0;328;0,0;5,331000089645386;1,0
instancia_4;2;0,49296875;1262,0;255;0,0;0,0840001106262207;1,0
instancia_5;2;0,7265624999999998;1860,0;125;0,0;0,08899998664855957;1,0
instancia_6;2;0,673046875;1723,0;171;0,0;0,12400007247924805;1,0
instancia_7;2;0,6499999999999991;1664,0;472;0,0;0,10699987411499023;1,0
instancia_8;2;0,8734375000000001;2236,0;110;0,0;0,09800004959106445;1,0
instancia_9;2;0,7367187499999999;1886,0;206;0,0;0,11599993705749512;1,0
instancia_10;2;0,8417968750000022;2155,0;878;0,0;0,10899996757507324;1,0
