Instância;Status;Objetivo (Ocupação);Volume Total;Nº Caixas;Gap (%);Tempo (s);Nós Explorados
instancia_1;2;0,6367500051364355;5094,0;20;0,0;0,6749999523162842;4263,0
instancia_2;2;0,294;2352,0;4;0,0;0,003000020980834961;0,0
instancia_3;2;0,75;6000,0;12;0,0;0,0009999275207519531;0,0
instancia_4;2;0,6285000000000001;5028,0;15;0,0;0,006000041961669922;1,0
instancia_5;2;0,0;0,0;0;0,0;0,0010001659393310547;0,0
instancia_6;2;0,204375;1635,0;6;0,0;0,007999897003173828;1,0
instancia_7;2;0,54375;4350,0;8;0,0;0,004000186920166016;1,0
instancia_8;2;0,7725000000000002;6180,0;8;0,0;0,003999948501586914;1,0
instancia_9;2;0,62825;5026,0;8;0,0;0,0019998550415039062;1,0
instancia_10;2;0,39725;3178,0;6;0,0;0,023000001907348633;1,0
