Instância;Status;Objetivo (Ocupação);Volume Total;Nº Caixas;Gap (%);Tempo (s)
instancia_1;2;0,804444;21720,0;71;0,0;0,141
instancia_2;2;0,848;22896,0;107;0,0;5,944
instancia_3;2;0,691333;18666,0;118;0,0;0,461
instancia_4;2;0,880296;23768,0;107;0,0;17,192
instancia_5;2;0,88963;24020,0;33;0,0;0,043
instancia_6;2;0,929111;25086,0;48;0,0;11,266
instancia_7;2;0,688556;18591,0;35;0,0;0,083
instancia_8;2;0,846667;22860,0;86;2e-06;2550,359
instancia_9;2;0,756148;20416,0;153;0,0;0,136
instancia_10;2;0,824074;22250,0;114;0,0;7,816
