Instância;Status;Objetivo (Ocupação);Volume Total;Nº Caixas;Gap (%);Tempo (s)
instancia_1;9;0,948148;25600,0;140;1,954951;3600,112
instancia_2;2;0,779852;21056,0;34;0,0;0,339
instancia_3;2;0,948444;25608,0;151;0,0;0,071
instancia_4;2;0,798222;21552,0;44;0,0;0,043
instancia_5;2;0,862889;23298,0;183;0,0;0,917
instancia_6;9;0,864926;23353,01;86;0,0642;3600,202
instancia_7;2;0,803926;21706,0;31;0,001152;0,683
instancia_8;2;0,99;26730,0;162;0,008351;0,373
instancia_9;2;0,886889;23946,0;62;0,0;0,12
instancia_10;2;0,694963;18764,0;19;0,0;0,085
