Instância;Status;Objetivo (Ocupação);Volume Total;Nº Caixas;Gap (%);Tempo (s)
instancia_1;2;0,890625;2280,0;163;0,0;0,755
instancia_2;2;0,499219;1278,0;163;0,0;0,09
instancia_3;2;0,963672;2467,0;328;0,0;4,274
instancia_4;2;0,492969;1262,0;255;0,0;0,081
instancia_5;2;0,726562;1860,0;125;0,0;0,027
instancia_6;2;0,673047;1723,0;171;0,0;0,124
instancia_7;2;0,65;1664,0;472;0,0;0,1
instancia_8;2;0,873438;2236,0;110;0,0;0,032
instancia_9;2;0,736719;1886,0;206;0,0;0,086
instancia_10;2;0,841797;2155,0;878;0,0;0,108
