Instância;Status;Objetivo;Volume;Nº Caixas;Gap (%);Tempo (s);Nós Explorados
instancia_1;2;0,876625;7013,0;17;0,0;2,968;1164,0
instancia_10;2;0,74975;5998,0;7;0,0;0,059;1,0
instancia_2;2;0,816;6528,0;11;0,0;0,421;1,0
instancia_3;2;0,87;6960,0;14;0,0;0,095;1,0
instancia_4;2;0,777;6216,0;16;0,0;0,623;97,0
instancia_5;2;0,606875;4855,0;6;0,0;0,767;104,0
instancia_6;2;0,751375;6011,0;12;0,0;0,211;1,0
instancia_7;2;0,71925;5754,0;9;0,0;0,559;19,0
instancia_8;2;0,911;7288,0;11;0,0;1,212;33,0
instancia_9;2;0,7765;6212,0;8;0,0;0,11;1,0
